事故ID,事故时间,城市,所在区域,道路名称,事故类型,天气情况,道路类型,照明条件,受伤人数,死亡人数,温度(℃),湿度(%),能见度(km),风速(m/s),事故等级,是否高峰,是否周末,月份,星期,来源
1,2024-12-31 17:50:45,北京市,大兴区,中新路,侧面碰撞,雾,城市主干道,白天,1,0,2.9,70.0,0.6,1.2,一般,1,0,12,2,simulation
2,2024-04-25 14:30:29,北京市,朝阳区,北西路,侧面碰撞,晴,高速公路,白天,2,0,21.7,63.0,17.2,3.6,严重,0,0,4,4,simulation
3,2024-07-13 07:42:52,北京市,通州区,环新快速路,刮擦,多云,高速公路,白天,1,0,23.8,66.0,17.9,0.2,严重,1,1,7,6,simulation
4,2025-01-31 17:42:02,北京市,东城区,环东快速路,刮擦,多云,城市主干道,白天,1,0,-5.5,69.0,8.1,0.0,一般,1,0,1,5,simulation
5,2023-10-15 17:43:15,北京市,顺义区,西新环路,刮擦,小雨,高速公路,白天,0,0,19.0,61.0,3.9,0.8,轻微,1,1,10,7,simulation
6,2024-11-13 07:41:17,北京市,昌平区,环中大道,单车事故,晴,高速公路,白天,1,0,8.3,42.0,18.0,16.2,轻微,1,0,11,3,simulation
7,2024-07-03 13:19:54,北京市,大兴区,西北大道,刮擦,晴,高速公路,白天,0,0,28.7,34.0,9.7,1.2,轻微,0,0,7,3,simulation
8,2023-10-16 19:13:01,北京市,西城区,新东大道,单车事故,多云,城市次干道,黄昏,1,0,15.1,62.0,13.4,1.8,一般,1,0,10,1,simulation
9,2023-02-26 17:54:42,北京市,东城区,东西环路,刮擦,阴,支路,白天,0,0,5.7,62.0,10.2,5.0,轻微,1,1,2,7,simulation
10,2024-06-16 09:17:09,北京市,东城区,东南快速路,追尾,晴,支路,白天,1,0,29.9,41.0,18.8,9.1,轻微,1,1,6,7,simulation
11,2023-05-28 06:17:37,北京市,朝阳区,新南街,刮擦,阴,匝道,白天,0,0,14.8,43.0,14.9,1.7,轻微,0,1,5,7,simulation
12,2025-09-22 07:54:46,北京市,石景山区,大南高速公路,多车连环,小雨,城市次干道,白天,0,0,11.4,46.0,5.5,2.2,轻微,1,0,9,1,simulation
13,2025-12-17 18:09:03,北京市,西城区,北东高速公路,侧面碰撞,多云,城市主干道,黄昏,1,0,-8.2,49.0,15.5,1.4,轻微,1,0,12,3,simulation
14,2024-05-13 07:41:05,北京市,石景山区,环东街,追尾,小雨,匝道,白天,0,0,10.4,47.0,7.3,7.7,轻微,1,0,5,1,simulation
15,2023-02-22 18:39:26,北京市,海淀区,西南环路,侧面碰撞,阴,匝道,黄昏,2,0,-1.0,66.0,16.9,0.3,一般,1,0,2,3,simulation
16,2023-11-26 07:20:51,北京市,通州区,南大环路,追尾,晴,城市主干道,白天,1,0,20.3,42.0,16.2,1.1,严重,1,1,11,7,simulation
17,2024-09-27 08:10:50,北京市,大兴区,大西环路,追尾,晴,高速公路,白天,1,0,20.5,37.0,19.3,2.7,轻微,1,0,9,5,simulation
18,2025-01-02 09:25:51,北京市,丰台区,新环路,单车事故,雪,城市主干道,白天,1,0,11.6,75.0,2.3,4.9,一般,1,0,1,4,simulation
19,2023-09-01 08:38:26,北京市,东城区,西中高速公路,刮擦,多云,城市次干道,白天,0,0,14.5,66.0,9.5,2.9,轻微,1,0,9,5,simulation
20,2025-06-29 08:32:39,北京市,石景山区,环大环路,侧面碰撞,晴,支路,白天,0,0,31.1,40.0,11.5,1.9,轻微,1,1,6,7,simulation
21,2024-04-05 17:22:23,北京市,大兴区,大北大道,侧面碰撞,晴,匝道,白天,0,0,10.5,57.0,14.4,0.9,轻微,1,0,4,5,simulation
22,2025-05-22 18:01:20,北京市,西城区,大北高速公路,刮擦,晴,支路,黄昏,0,0,18.4,60.0,18.2,0.3,轻微,1,0,5,4,simulation
23,2023-10-03 14:27:42,北京市,通州区,北中路,多车连环,晴,高速公路,白天,1,1,13.2,51.0,14.0,2.5,严重,0,0,10,2,simulation
24,2023-04-01 08:21:48,北京市,大兴区,西西快速路,多车连环,多云,匝道,白天,0,0,13.8,61.0,10.3,5.2,轻微,1,1,4,6,simulation
25,2023-07-01 00:15:21,北京市,西城区,环新大道,追尾,阴,支路,夜间有照明,0,0,29.4,44.0,8.1,1.5,轻微,0,1,7,6,simulation
26,2024-01-19 00:54:37,北京市,东城区,环南快速路,刮擦,多云,城市次干道,夜间无照明,0,0,4.6,30.0,19.6,3.8,轻微,0,0,1,5,simulation
27,2023-08-29 17:41:30,北京市,朝阳区,新中高速公路,刮擦,晴,高速公路,白天,0,0,24.7,50.0,9.3,5.2,轻微,1,0,8,2,simulation
28,2023-04-02 19:26:59,北京市,东城区,北东大道,追尾,阴,支路,黄昏,3,0,13.6,56.0,11.1,7.0,严重,1,1,4,7,simulation
29,2025-04-05 17:10:29,北京市,昌平区,南环路,侧面碰撞,多云,城市次干道,白天,2,0,22.4,67.0,18.1,4.7,一般,1,1,4,6,simulation
30,2023-01-18 18:35:11,北京市,西城区,大新环路,行人事故,雪,支路,黄昏,1,0,-10.4,89.0,2.3,4.1,轻微,1,0,1,3,simulation
31,2024-04-23 18:54:56,北京市,石景山区,中大高速公路,单车事故,晴,匝道,黄昏,0,0,21.5,60.0,9.0,1.8,轻微,1,0,4,2,simulation
32,2023-04-25 01:21:34,北京市,石景山区,南北街,刮擦,多云,高速公路,夜间有照明,0,0,19.7,64.0,11.8,0.6,轻微,0,0,4,2,simulation
33,2023-01-07 09:57:13,北京市,丰台区,环大高速公路,侧面碰撞,晴,匝道,白天,0,0,3.1,35.0,19.2,0.3,轻微,1,1,1,6,simulation
34,2023-10-27 08:32:32,北京市,丰台区,大南快速路,追尾,晴,城市次干道,白天,0,0,19.1,50.0,15.4,2.2,轻微,1,0,10,5,simulation
35,2023-05-28 17:59:12,北京市,通州区,北大环路,刮擦,多云,支路,白天,3,0,20.6,35.0,14.2,8.4,一般,1,1,5,7,simulation
36,2023-11-08 19:36:08,北京市,海淀区,中环环路,单车事故,小雨,匝道,黄昏,1,0,17.7,54.0,4.4,2.4,一般,1,0,11,3,simulation
37,2024-12-22 23:19:41,北京市,海淀区,东东街,多车连环,雾,城市次干道,夜间有照明,1,0,-2.8,80.0,2.5,0.1,一般,0,1,12,7,simulation
38,2025-06-03 08:38:33,北京市,东城区,西南路,追尾,晴,城市次干道,白天,0,0,27.0,46.0,8.7,3.6,轻微,1,0,6,2,simulation
39,2025-10-22 09:04:49,北京市,海淀区,新环环路,追尾,晴,城市主干道,白天,0,0,16.1,68.0,9.6,0.0,轻微,1,0,10,3,simulation
40,2024-06-09 18:14:53,北京市,通州区,环北街,单车事故,晴,支路,黄昏,1,0,26.1,58.0,19.1,4.0,轻微,1,1,6,7,simulation
41,2023-11-13 18:00:29,北京市,东城区,中中路,侧面碰撞,多云,高速公路,黄昏,1,0,16.4,35.0,11.3,2.8,一般,1,0,11,1,simulation
42,2024-02-08 18:00:53,北京市,海淀区,中东路,追尾,多云,城市主干道,黄昏,1,0,-3.7,41.0,12.7,0.5,轻微,1,0,2,4,simulation
43,2024-04-28 08:12:29,北京市,石景山区,东中路,行人事故,阴,城市次干道,白天,3,0,11.7,33.0,10.4,4.3,严重,1,1,4,7,simulation
44,2025-09-30 08:13:56,北京市,顺义区,中新环路,刮擦,阴,高速公路,白天,0,0,10.6,65.0,10.8,1.7,轻微,1,0,9,2,simulation
45,2023-12-29 08:22:56,北京市,大兴区,南中高速公路,追尾,阴,支路,白天,1,0,-4.0,53.0,9.1,8.3,轻微,1,0,12,5,simulation
46,2024-08-22 00:23:29,北京市,通州区,环大街,多车连环,雷阵雨,支路,夜间有照明,0,0,31.1,58.0,6.9,5.3,轻微,0,0,8,4,simulation
47,2023-06-10 17:14:47,北京市,朝阳区,南新高速公路,单车事故,阴,城市次干道,白天,3,0,27.2,31.0,9.3,0.1,一般,1,1,6,6,simulation
48,2024-03-18 17:33:16,北京市,朝阳区,中北街,侧面碰撞,多云,支路,白天,2,0,20.2,62.0,9.8,0.4,一般,1,0,3,1,simulation
49,2023-06-12 09:12:18,北京市,昌平区,西中高速公路,刮擦,多云,匝道,白天,0,0,28.2,61.0,10.9,3.3,轻微,1,0,6,1,simulation
50,2024-10-18 15:27:32,北京市,顺义区,北南环路,单车事故,晴,城市主干道,白天,0,0,18.8,67.0,15.3,4.1,轻微,0,0,10,5,simulation
51,2024-01-11 08:16:27,北京市,大兴区,中西大道,侧面碰撞,雾,匝道,白天,1,0,-1.8,81.0,0.9,0.1,轻微,1,0,1,4,simulation
52,2023-12-18 18:04:39,北京市,昌平区,东北快速路,追尾,多云,支路,黄昏,0,0,5.5,69.0,13.9,1.4,轻微,1,0,12,1,simulation
53,2025-06-17 09:46:45,北京市,东城区,西环路,侧面碰撞,晴,匝道,白天,0,0,23.9,30.0,17.8,1.5,轻微,1,0,6,2,simulation
54,2023-08-20 17:04:41,北京市,昌平区,北西快速路,刮擦,雷阵雨,匝道,白天,1,0,27.5,42.0,5.8,2.5,一般,1,1,8,7,simulation
55,2025-08-19 03:39:33,北京市,西城区,西东大道,侧面碰撞,晴,匝道,夜间有照明,0,0,29.7,35.0,18.1,4.3,轻微,0,0,8,2,simulation
56,2024-07-23 08:40:06,北京市,顺义区,西东大道,刮擦,晴,高速公路,白天,0,0,29.8,40.0,19.6,0.8,轻微,1,0,7,2,simulation
57,2023-08-20 08:51:31,北京市,西城区,北西环路,刮擦,晴,城市次干道,白天,1,0,28.9,33.0,11.1,6.9,一般,1,1,8,7,simulation
58,2025-05-30 17:33:33,北京市,通州区,中中高速公路,行人事故,晴,匝道,白天,2,1,15.8,40.0,9.7,0.2,严重,1,0,5,5,simulation
59,2024-07-21 18:17:35,北京市,通州区,东中快速路,单车事故,大雨,匝道,黄昏,0,0,27.3,67.0,2.2,0.4,轻微,1,1,7,7,simulation
60,2023-05-25 17:27:43,北京市,朝阳区,北新街,单车事故,晴,支路,白天,3,0,13.5,49.0,18.7,0.3,一般,1,0,5,4,simulation
61,2023-04-27 21:22:17,北京市,昌平区,大中环路,追尾,多云,支路,夜间有照明,0,0,7.1,45.0,10.1,0.5,轻微,0,0,4,4,simulation
62,2024-02-11 08:28:12,北京市,丰台区,中环快速路,刮擦,多云,支路,白天,0,0,0.7,41.0,19.1,0.9,轻微,1,1,2,7,simulation
63,2023-09-14 07:22:12,北京市,海淀区,东南路,刮擦,晴,支路,白天,0,0,20.6,47.0,18.3,6.4,轻微,1,0,9,4,simulation
64,2023-07-15 17:01:27,北京市,顺义区,东中快速路,追尾,多云,匝道,白天,1,0,24.0,67.0,16.9,3.7,一般,1,1,7,6,simulation
65,2024-04-13 07:43:51,北京市,顺义区,环北环路,侧面碰撞,多云,高速公路,白天,0,0,10.0,56.0,17.4,9.9,轻微,1,1,4,6,simulation
66,2023-06-11 19:31:50,北京市,丰台区,北北大道,翻车,雷阵雨,城市主干道,黄昏,0,0,26.7,40.0,4.1,3.0,轻微,1,1,6,7,simulation
67,2024-03-30 19:07:25,北京市,大兴区,东北快速路,刮擦,多云,高速公路,黄昏,0,0,21.9,44.0,15.1,1.6,轻微,1,1,3,6,simulation
68,2025-11-30 05:00:28,北京市,丰台区,东南环路,单车事故,晴,匝道,夜间有照明,0,0,5.0,51.0,12.9,6.8,轻微,0,1,11,7,simulation
69,2023-02-01 18:46:51,北京市,东城区,西环高速公路,追尾,晴,城市次干道,黄昏,0,0,0.9,32.0,14.7,5.8,轻微,1,0,2,3,simulation
70,2024-01-23 19:34:01,北京市,东城区,中东路,刮擦,多云,高速公路,黄昏,0,0,-2.0,38.0,19.3,8.1,轻微,1,0,1,2,simulation
71,2024-03-21 21:26:26,北京市,朝阳区,东新路,刮擦,阴,高速公路,夜间有照明,0,0,13.6,40.0,11.3,3.6,轻微,0,0,3,4,simulation
72,2025-03-03 19:45:54,北京市,东城区,东中快速路,追尾,阴,城市次干道,黄昏,2,0,18.7,40.0,10.0,0.7,一般,1,0,3,1,simulation
73,2024-12-21 18:09:49,北京市,朝阳区,北中路,刮擦,阴,高速公路,黄昏,1,0,1.8,50.0,13.7,4.1,轻微,1,1,12,6,simulation
74,2025-01-09 09:12:47,北京市,东城区,北大街,追尾,晴,支路,白天,0,0,-4.2,50.0,19.9,3.1,轻微,1,0,1,4,simulation
75,2024-04-12 07:04:38,北京市,东城区,西新高速公路,单车事故,阴,高速公路,白天,1,0,19.8,58.0,18.8,0.0,轻微,1,0,4,5,simulation
76,2024-08-21 18:40:21,北京市,大兴区,西南街,行人事故,多云,城市次干道,黄昏,0,0,29.6,45.0,19.2,1.7,轻微,1,0,8,3,simulation
77,2023-03-01 14:16:52,北京市,海淀区,南北高速公路,刮擦,阴,城市主干道,白天,0,0,20.2,51.0,13.5,5.4,轻微,0,0,3,3,simulation
78,2023-12-16 07:28:52,北京市,丰台区,新中快速路,多车连环,雪,城市次干道,白天,1,0,-0.1,72.0,2.1,1.6,轻微,1,1,12,6,simulation
79,2024-10-17 08:24:32,北京市,通州区,东环街,侧面碰撞,多云,城市主干道,白天,1,0,17.5,43.0,9.5,3.0,严重,1,0,10,4,simulation
80,2025-03-14 15:32:11,北京市,石景山区,北北路,翻车,晴,高速公路,白天,0,0,31.1,68.0,11.3,1.0,轻微,0,0,3,5,simulation
81,2025-10-27 09:26:09,北京市,通州区,中北大道,追尾,多云,高速公路,白天,0,0,20.7,55.0,8.7,2.0,轻微,1,0,10,1,simulation
82,2023-04-05 18:55:20,北京市,丰台区,北西街,刮擦,多云,城市主干道,黄昏,1,0,24.1,33.0,10.5,3.5,一般,1,0,4,3,simulation
83,2025-01-23 18:16:03,北京市,通州区,东环快速路,追尾,多云,匝道,黄昏,1,0,3.2,61.0,13.3,0.1,一般,1,0,1,4,simulation
84,2024-12-11 18:17:19,北京市,西城区,南中快速路,侧面碰撞,雾,高速公路,黄昏,3,0,-3.5,85.0,3.0,1.5,一般,1,0,12,3,simulation
85,2023-03-12 21:34:10,北京市,西城区,东北路,多车连环,多云,高速公路,夜间无照明,0,0,15.1,56.0,11.8,11.1,轻微,0,1,3,7,simulation
86,2025-10-20 08:30:04,北京市,大兴区,北新街,刮擦,多云,城市主干道,白天,1,0,20.2,70.0,14.6,1.0,一般,1,0,10,1,simulation
87,2024-01-06 18:34:52,北京市,通州区,中南快速路,追尾,晴,城市主干道,黄昏,1,0,-2.9,45.0,8.1,2.6,轻微,1,1,1,6,simulation
88,2024-03-15 19:25:16,北京市,通州区,西环快速路,刮擦,晴,匝道,黄昏,1,0,25.1,39.0,15.6,0.8,轻微,1,0,3,5,simulation
89,2025-06-29 08:56:32,北京市,顺义区,环南路,多车连环,大雨,高速公路,白天,2,0,21.6,62.0,2.9,1.0,严重,1,1,6,7,simulation
90,2024-12-16 07:04:57,北京市,石景山区,北环高速公路,追尾,晴,支路,白天,1,0,-1.6,53.0,14.1,0.9,一般,1,0,12,1,simulation
91,2025-07-24 23:00:32,北京市,通州区,东大路,侧面碰撞,晴,城市次干道,夜间无照明,1,0,30.4,47.0,11.9,2.0,一般,0,0,7,4,simulation
92,2025-12-18 17:20:52,北京市,昌平区,北中快速路,刮擦,多云,高速公路,白天,2,0,1.9,46.0,17.8,2.7,一般,1,0,12,4,simulation
93,2025-05-20 18:55:08,北京市,丰台区,东南路,单车事故,小雨,城市次干道,黄昏,1,0,15.8,55.0,3.2,2.9,轻微,1,0,5,2,simulation
94,2023-05-05 17:10:50,北京市,昌平区,大中大道,刮擦,晴,匝道,白天,3,0,22.5,42.0,10.1,1.2,一般,1,0,5,5,simulation
95,2024-12-16 07:40:12,北京市,海淀区,南东高速公路,追尾,雾,城市次干道,白天,2,0,6.9,82.0,1.1,1.5,一般,1,0,12,1,simulation
96,2023-09-02 19:40:48,北京市,海淀区,南北路,刮擦,晴,高速公路,黄昏,0,0,12.1,55.0,11.0,0.2,轻微,1,1,9,6,simulation
97,2025-02-15 09:51:26,北京市,通州区,南北路,刮擦,阴,匝道,白天,1,0,-1.2,60.0,11.5,0.5,一般,1,1,2,6,simulation
98,2023-09-27 00:32:54,北京市,通州区,南新快速路,追尾,晴,支路,夜间有照明,0,0,20.2,58.0,18.4,1.2,轻微,0,0,9,3,simulation
99,2024-03-30 14:13:50,北京市,昌平区,西南高速公路,单车事故,多云,支路,白天,1,0,23.5,58.0,8.9,4.6,轻微,0,1,3,6,simulation
100,2025-02-23 22:44:08,北京市,昌平区,新中环路,追尾,阴,城市次干道,夜间无照明,1,0,0.1,69.0,18.9,0.8,一般,0,1,2,7,simulation
101,2025-01-20 12:32:05,北京市,西城区,西环快速路,刮擦,多云,高速公路,白天,2,0,-0.1,61.0,16.6,2.0,严重,0,0,1,1,simulation
102,2024-10-29 07:11:08,北京市,石景山区,东新环路,刮擦,晴,城市主干道,白天,0,0,20.5,56.0,10.9,2.2,轻微,1,0,10,2,simulation
103,2024-06-14 01:51:13,北京市,石景山区,西西街,翻车,大雨,支路,夜间无照明,0,0,21.5,46.0,1.9,1.6,轻微,0,0,6,5,simulation
104,2024-09-27 10:18:16,北京市,通州区,东大大道,侧面碰撞,阴,高速公路,白天,2,0,15.8,60.0,19.5,0.1,严重,0,0,9,5,simulation
105,2025-11-23 14:38:22,北京市,丰台区,大中高速公路,刮擦,晴,支路,白天,1,0,21.8,41.0,9.9,2.3,轻微,0,1,11,7,simulation
106,2025-02-25 08:52:28,北京市,大兴区,大中街,单车事故,晴,匝道,白天,2,0,-5.5,53.0,11.8,0.8,一般,1,0,2,2,simulation
107,2025-12-03 18:22:15,北京市,通州区,东大大道,刮擦,雾,城市主干道,黄昏,0,0,4.8,70.0,2.4,1.4,轻微,1,0,12,3,simulation
108,2025-09-15 07:32:50,北京市,海淀区,北大街,侧面碰撞,阴,支路,白天,0,0,17.6,39.0,16.5,3.6,轻微,1,0,9,1,simulation
109,2023-05-26 03:25:27,北京市,丰台区,大西高速公路,单车事故,晴,匝道,夜间有照明,3,0,13.6,66.0,11.6,0.7,一般,0,0,5,5,simulation
110,2024-10-19 19:16:22,北京市,丰台区,南东街,追尾,晴,城市主干道,黄昏,1,0,15.6,54.0,18.8,2.3,一般,1,1,10,6,simulation
111,2023-03-30 00:43:40,北京市,海淀区,大环大道,追尾,晴,城市主干道,夜间无照明,0,0,11.5,46.0,19.1,6.3,轻微,0,0,3,4,simulation
112,2025-05-06 17:47:30,北京市,顺义区,南中大道,刮擦,晴,城市次干道,白天,1,0,10.0,30.0,18.7,2.1,一般,1,0,5,2,simulation
113,2023-12-07 17:49:38,北京市,顺义区,环东大道,追尾,多云,高速公路,白天,0,0,0.3,39.0,15.8,0.8,轻微,1,0,12,4,simulation
114,2024-09-29 08:50:01,北京市,石景山区,西东大道,翻车,阴,城市主干道,白天,1,0,14.0,40.0,10.8,8.6,严重,1,1,9,7,simulation
115,2025-12-31 20:21:56,北京市,通州区,南大环路,刮擦,多云,支路,夜间有照明,1,0,8.7,66.0,12.2,1.9,一般,0,0,12,3,simulation
116,2023-09-28 17:28:33,北京市,顺义区,东东快速路,追尾,多云,城市主干道,白天,0,0,21.8,49.0,19.5,0.7,轻微,1,0,9,4,simulation
117,2023-12-01 15:51:32,北京市,顺义区,东西快速路,追尾,阴,支路,白天,2,0,-6.1,40.0,17.4,9.0,一般,0,0,12,5,simulation
118,2025-01-27 19:17:19,北京市,大兴区,东东路,侧面碰撞,阴,匝道,黄昏,0,0,7.4,50.0,10.1,0.0,轻微,1,0,1,1,simulation
119,2023-09-27 09:03:12,北京市,海淀区,东环高速公路,刮擦,多云,匝道,白天,0,0,18.6,36.0,16.7,7.3,轻微,1,0,9,3,simulation
120,2023-04-28 18:22:35,北京市,昌平区,北大环路,刮擦,阴,匝道,黄昏,1,0,25.3,49.0,16.0,3.2,一般,1,0,4,5,simulation
121,2023-01-16 09:31:01,北京市,西城区,西东快速路,追尾,晴,支路,白天,1,0,-3.2,48.0,17.9,2.1,轻微,1,0,1,1,simulation
122,2024-09-16 19:14:09,北京市,东城区,西西高速公路,多车连环,晴,支路,黄昏,0,0,13.0,35.0,14.7,2.6,轻微,1,0,9,1,simulation
123,2024-06-29 18:25:54,北京市,西城区,北东街,翻车,大雨,匝道,黄昏,2,0,26.0,42.0,0.5,1.5,一般,1,1,6,6,simulation
124,2023-11-03 18:11:20,北京市,西城区,西环快速路,翻车,晴,城市主干道,黄昏,1,1,13.0,67.0,19.0,3.3,严重,1,0,11,5,simulation
125,2024-03-29 09:20:04,北京市,海淀区,西西街,刮擦,晴,匝道,白天,0,0,17.0,63.0,18.7,9.5,轻微,1,0,3,5,simulation
126,2023-03-20 07:30:24,北京市,石景山区,东新街,多车连环,多云,城市主干道,白天,0,0,18.6,33.0,15.3,6.6,轻微,1,0,3,1,simulation
127,2025-01-01 18:32:04,北京市,顺义区,新东大道,刮擦,晴,城市主干道,黄昏,0,0,10.6,66.0,17.2,2.1,轻微,1,0,1,3,simulation
128,2025-09-10 18:46:14,北京市,东城区,北大路,侧面碰撞,多云,城市主干道,黄昏,0,0,15.0,69.0,17.7,2.2,轻微,1,0,9,3,simulation
129,2023-09-29 17:57:03,北京市,石景山区,西南路,追尾,多云,高速公路,白天,0,0,22.6,35.0,17.4,1.7,轻微,1,0,9,5,simulation
130,2023-03-15 18:35:23,北京市,昌平区,中南路,侧面碰撞,晴,城市次干道,黄昏,3,0,14.0,36.0,10.0,2.0,一般,1,0,3,3,simulation
131,2024-03-02 07:32:24,北京市,石景山区,南中大道,多车连环,阴,城市次干道,白天,0,0,23.3,35.0,13.3,2.0,轻微,1,1,3,6,simulation
132,2024-09-30 07:21:12,北京市,顺义区,大东高速公路,多车连环,多云,支路,白天,0,0,14.5,57.0,13.2,1.5,轻微,1,0,9,1,simulation
133,2024-02-20 17:35:23,北京市,朝阳区,南中快速路,追尾,晴,高速公路,白天,3,0,-2.7,55.0,9.0,3.9,一般,1,0,2,2,simulation
134,2024-01-05 17:52:01,北京市,通州区,新北高速公路,侧面碰撞,晴,高速公路,白天,0,0,4.7,36.0,8.7,1.9,轻微,1,0,1,5,simulation
135,2023-09-18 18:20:01,北京市,丰台区,南中快速路,单车事故,阴,城市次干道,黄昏,4,0,10.4,47.0,15.9,0.5,严重,1,0,9,1,simulation
136,2023-04-11 07:51:12,北京市,昌平区,中大高速公路,侧面碰撞,阴,支路,白天,0,0,17.8,64.0,12.2,1.5,轻微,1,0,4,2,simulation
137,2024-05-20 23:04:01,北京市,海淀区,北东快速路,单车事故,晴,支路,夜间有照明,1,0,15.9,47.0,15.7,1.8,轻微,0,0,5,1,simulation
138,2024-11-15 19:50:24,北京市,大兴区,新环街,追尾,多云,城市次干道,黄昏,1,0,20.8,49.0,18.3,1.5,一般,1,0,11,5,simulation
139,2024-02-28 17:23:01,北京市,西城区,东环环路,行人事故,阴,匝道,白天,0,0,1.7,65.0,11.4,1.7,轻微,1,0,2,3,simulation
140,2025-12-01 07:09:28,北京市,东城区,环环高速公路,行人事故,阴,匝道,白天,1,0,1.3,52.0,19.6,4.4,一般,1,0,12,1,simulation
141,2025-06-11 08:37:24,北京市,朝阳区,西大路,追尾,晴,城市主干道,白天,1,0,27.1,34.0,13.7,0.8,轻微,1,0,6,3,simulation
142,2025-05-12 08:20:24,北京市,海淀区,南南环路,追尾,阴,匝道,白天,0,0,18.6,39.0,13.6,0.9,轻微,1,0,5,1,simulation
143,2025-01-18 15:33:52,北京市,西城区,大中路,刮擦,多云,匝道,白天,0,0,4.4,55.0,14.0,0.8,轻微,0,1,1,6,simulation
144,2025-05-12 18:25:17,北京市,朝阳区,新北路,侧面碰撞,小雨,城市次干道,黄昏,0,0,20.7,54.0,3.1,0.1,轻微,1,0,5,1,simulation
145,2023-03-03 19:36:26,北京市,昌平区,西南快速路,刮擦,多云,城市次干道,黄昏,2,0,22.5,39.0,19.2,2.3,一般,1,0,3,5,simulation
146,2024-11-18 12:55:11,北京市,西城区,大中高速公路,多车连环,晴,匝道,白天,1,0,28.6,63.0,18.7,2.2,轻微,0,0,11,1,simulation
147,2025-11-23 02:19:05,北京市,朝阳区,西南大道,追尾,多云,支路,夜间无照明,1,0,16.6,49.0,16.2,5.1,严重,0,1,11,7,simulation
