事故ID,事故时间,所在区域,道路类型,事故类型,天气情况,受伤人数,死亡人数,温度(℃),湿度(%),能见度(km),风速(m/s),事故等级
1,2021-02-16 19:54:42.862494244,西城区,支路,多车连环,阴天,0,0,19.4,71,15.8,0.3,轻微
2,2023-09-03 11:34:50.423250312,西城区,高速公路,多车连环,雨天,4,1,13.0,37,6.7,19.8,轻微
3,2023-05-01 15:21:39.784186408,海淀区,城市次干道,追尾,雨天,1,0,-2.5,57,5.0,0.1,轻微
4,2022-12-29 14:56:44.914699464,丰台区,城市主干道,刮擦,晴天,0,1,4.1,43,2.5,12.4,轻微
5,2022-11-23 07:14:19.100118008,石景山区,城市主干道,侧碰,阴天,4,1,36.0,31,5.4,19.3,一般
6,2025-12-09 09:14:51.503358328,丰台区,高速公路,单车事故,雪天,0,0,15.7,62,12.1,6.5,严重
7,2025-08-12 00:26:28.173025304,朝阳区,支路,单车事故,晴天,0,0,37.5,38,13.4,5.3,轻微
8,2025-01-15 05:13:12.133421336,丰台区,高速公路,侧碰,雨天,3,1,22.3,43,18.3,0.7,一般
9,2024-10-28 13:15:04.464654456,朝阳区,支路,多车连环,雪天,2,0,27.0,37,9.3,7.6,轻微
10,2024-10-03 08:45:02.844492440,丰台区,高速公路,侧碰,雪天,2,0,0.1,76,18.0,15.4,一般
11,2021-04-15 20:53:28.335041499,西城区,高速公路,单车事故,雪天,4,0,-8.4,21,5.6,1.5,轻微
12,2022-07-24 17:52:00.846292624,丰台区,城市主干道,追尾,阴天,2,0,4.6,40,14.8,15.9,轻微
13,2021-09-18 17:47:07.056913684,海淀区,城市次干道,多车连环,雨天,4,0,16.5,43,6.0,8.9,轻微
14,2025-09-06 04:56:29.793187320,朝阳区,城市主干道,追尾,阴天,4,0,-0.2,66,1.5,16.1,一般
15,2021-09-12 17:13:51.017309724,东城区,高速公路,多车连环,雾天,1,1,38.3,75,16.8,18.6,轻微
16,2021-01-13 03:37:43.240532047,东城区,城市主干道,追尾,雪天,3,1,26.0,84,6.3,11.2,轻微
